keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
BRISK,ORB,MAT_BF,SEL_KNN,68,0,0,193.708,0.641445,0
BRISK,ORB,MAT_BF,SEL_KNN,79,79,69,193.575,0.244501,0.16114
BRISK,ORB,MAT_BF,SEL_KNN,79,79,73,193.362,0.241701,0.140393
BRISK,ORB,MAT_BF,SEL_KNN,81,81,63,192.101,0.30662,0.143498
BRISK,ORB,MAT_BF,SEL_KNN,94,94,88,195.883,0.280148,0.09414
BRISK,ORB,MAT_BF,SEL_KNN,92,92,84,195.003,0.411143,0.180132
BRISK,ORB,MAT_BF,SEL_KNN,94,94,79,192.866,0.288472,0.109765
BRISK,ORB,MAT_BF,SEL_KNN,92,92,88,193.491,0.281787,0.104937
BRISK,ORB,MAT_BF,SEL_KNN,82,82,76,192.25,0.243192,0.138391
BRISK,ORB,MAT_BF,SEL_KNN,85,85,83,194.231,0.286637,0.136868
